Position X,Position Y,mPD
821248.332,834850.351,4.45
821175.3895,834783.7496,4.45
821263.0571,834729.0542,4.45
821412.3138,835003.4187,4.44
821394.306,835002.295,4.44
821405.112,835009.255,4.44
821376.7894,834932.6701,4.44
821084.9086,834794.1296,4.44
821369.7013,834929.4406,4.44
821260.2059,834836.9582,4.44
821170.9623,834787.3557,4.44
821173.5439,834786.811,4.44
821117.1374,834804.9102,4.44
821300.6648,834650.4487,4.44
821306.0291,835064.5563,4.43
821400.602,835003.735,4.43
821240.1535,834708.7921,4.43
821200.5279,834769.6374,4.43
821253.9005,834735.6151,4.43
821252.5858,834799.4789,4.43
821263.2633,834760.5562,4.43
821167.9437,834772.2926,4.43
821070.8038,834802.2073,4.43
821357.0502,834923.3113,4.43
821361.5429,834936.9099,4.43
821249.4136,834738.1267,4.43
821258.7663,834753.0553,4.43
821063.1954,834784.667,4.43
821194.6142,834771.0206,4.43
821276.1868,835034.1607,4.42
821390.492,835009.029,4.42
821201.5843,834782.3923,4.42
821265.7728,834727.3648,4.42
821264.3836,834874.4452,4.42
821262.4571,834746.9544,4.42
821365.0951,834938.039,4.42
821188.9004,834772.6038,4.42
821408.9787,834976.4068,4.42
821270.5837,834781.3776,4.42
821267.9809,834861.5673,4.42
821288.514,834921.917,4.42
821099.4489,834799.4692,4.42
821229.4101,834753.4606,4.41
821259.6485,834832.7687,4.41
821351.4873,834920.4116,4.41
821380.1205,834935.1266,4.41
821399.531,834946.308,4.41
821411.1279,835008.1727,4.41
821227.2605,834754.5668,4.41
821266.636,834878.2992,4.41
821249.8697,834820.716,4.41
821254.0326,834796.4428,4.41
821091.9916,834800.7052,4.41
821287.2781,834707.9115,4.41
821405.62,834979.37,4.4
821398.698,834993.37,4.4
821406.556,834989.974,4.4
821404.017,834974.524,4.4
821399.584,835004.877,4.4
821256.2611,834843.8984,4.4
821268.7883,834881.8531,4.4
821396.2608,834943.4562,4.4
821417.7369,834989.6085,4.4
821255.3795,834793.5066,4.4
821095.9716,834797.7816,4.4
821353.4361,834933.1543,4.4
821259.7455,834754.7634,4.4
821388.1907,834939.2914,4.4
821112.8594,834800.7664,4.4
821165.9149,834789.0575,4.4
821269.4013,834724.8553,4.4
821303.3512,834654.1119,4.39
821407.7686,834973.0312,4.39
821401.444,834987.576,4.39
821208.1569,834766.5323,4.39
821347.5109,834918.5137,4.39
821222.9449,834757.6107,4.39
821183.0896,834778.6662,4.39
821257.1755,834846.759,4.39
821159.5945,834791.229,4.39
821181.7344,834783.5201,4.39
821184.3448,834773.5123,4.39
821235.3076,834748.7707,4.39
821409.9419,835012.7267,4.38
821408.182,834984.455,4.38
821220.8788,834759.4484,4.38
821272.9297,834722.2457,4.38
821343.6345,834916.5158,4.38
821269.524,834784.0942,4.38
821269.427,834864.3616,4.38
821092.4944,834796.294,4.38
821305.1018,834656.3424,4.38
821263.715,834765.5867,4.38
821256.6764,834790.4205,4.38
821416.6969,834984.7341,4.38
821258.3759,834850.8111,4.38
821075.4499,834801.6815,4.38
821069.744,834798.7738,4.38
821291.4327,834637.4482,4.37
821242.363,834743.6712,4.37
821259.4854,834854.7038,4.37
821179.6891,834774.5208,4.37
821249.9208,834818.1463,4.37
821368.2417,834939.7754,4.37
821417.8141,834994.6331,4.37
821255.5345,834839.6124,4.37
821265.0361,834752.2379,4.37
821311.8799,834665.9141,4.36
821399.687,834981.01,4.36
821322.1229,834686.3069,4.36
821258.0732,834787.2343,4.36
821338.6521,834924.9857,4.36
821349.0815,834930.5278,4.36
821415.7569,834979.7597,4.36
821093.0972,834791.9829,4.36
821118.6056,834785.3426,4.36
821200.0023,834785.6939,4.36
821259.275,834828.3915,4.36
821408.9549,835016.1766,4.36
821275.6743,834720.1324,4.36
821271.9587,834884.9488,4.36
821251.7381,834804.3284,4.36
821345.106,834928.4777,4.36
821259.6216,834783.055,4.36
821341.1595,834926.3712,4.36
821306.2313,835067.6385,4.36
821260.7859,834857.9825,4.36
821166.9824,834780.1075,4.36
821309.3661,834662.2435,4.36
821389.101,835014.909,4.35
821229.0922,834684.2856,4.35
821262.7687,834757.3461,4.35
821254.7078,834835.2263,4.35
821190.7264,834788.0015,4.35
821062.2973,834787.406,4.35
821261.17,834778.8757,4.35
821271.023,834866.9058,4.35
821311.653,835067.971,4.35
821186.5901,834781.7189,4.35
821065.3907,834791.4731,4.35
821174.7671,834775.9725,4.35
821195.3144,834786.7977,4.35
821185.5631,834789.141,4.35
821417.9912,834999.5577,4.34
821235.1004,834701.6033,4.34
821283.4686,834714.6989,4.34
821261.9864,834861.1611,4.34
821170.0731,834792.6595,4.34
821080.1959,834801.0556,4.34
821068.5841,834795.4402,4.34
821338.7668,834914.183,4.34
821280.8938,834716.309,4.34
821335.5374,834923.345,4.34
821263.0475,834774.0254,4.34
821268.5142,834786.7608,4.34
821254.729,834865.379,4.34
821147.2782,834792.0991,4.34
821160.6671,834785.7587,4.34
821059.5786,834783.9591,4.34
821321.1242,834682.9456,4.34
821180.3998,834790.2805,4.34
821175.3364,834791.47,4.34
821398.595,835011.981,4.33
821249.7566,834815.0035,4.33
821332.5227,834921.8043,4.33
821275.029,834887.9444,4.33
821371.2882,834941.4119,4.33
821264.1214,834770.4219,4.33
821251.047,834771.632,4.33
821083.4197,834800.2178,4.33
821311.2232,835068.4782,4.32
821320.2255,834679.4842,4.32
821295.9243,835058.9764,4.32
821259.1015,834823.8142,4.32
821267.4907,834757.037,4.32
821082.4963,834819.2168,4.32
821354.4176,834927.747,4.32
821056.6598,834780.5122,4.32
821086.6435,834799.3799,4.32
821169.7451,834777.5242,4.32
821405.1346,834968.6967,4.32
821278.0968,834891.0837,4.32
821335.5199,834912.6744,4.32
821417.5861,835003.223,4.32
821264.2135,834864.99,4.32
821254.4543,834830.6683,4.32
821318.6371,834688.8496,4.32
821287.4715,834711.7041,4.32
821289.9077,835052.613,4.31
821394.288,834988.392,4.31
821386.099,835002.855,4.31
821267.5045,834789.4274,4.31
821272.6191,834869.65,4.31
821281.1645,834894.023,4.31
821368.0289,834934.486,4.31
821136.7424,834780.699,4.31
821144.0672,834793.7697,4.31
821292.966,835055.7447,4.31
821299.4716,835062.6398,4.31
821250.3235,834811.9907,4.31
821363.969,834932.4715,4.31
821350.5878,834925.8531,4.31
821346.1203,834923.5115,4.31
821165.7924,834778.9563,4.31
821358.7357,834929.8817,4.31
821139.9784,834793.6818,4.31
821314.1834,834669.0499,4.31
821282.708,835044.8194,4.3
821417.181,835006.6883,4.3
821303.1189,835066.4031,4.3
821290.943,834914.625,4.3
821291.4744,834708.7092,4.3
821332.7817,834911.2939,4.3
821342.3781,834921.5605,4.3
821105.6653,834788.8594,4.3
821285.967,835048.4751,4.3
821278.1357,835040.4528,4.3
821311.0817,835072.9763,4.3
821118.4002,834800.1923,4.3
821120.1193,834792.3815,4.3
821161.7398,834780.2884,4.3
821274.345,835036.4661,4.29
821342.1533,835114.4969,4.29
821311.1539,835075.8208,4.29
821230.9206,834695.577,4.29
821311.5437,834694.6054,4.29
821254.2008,834825.9103,4.29
821266.3406,834868.9189,4.29
821298.1674,835052.5757,4.29
821152.9685,834776.0845,4.29
821328.3614,835096.6929,4.29
821339.5149,835110.748,4.29
821308.7937,835073.2708,4.29
821339.2083,834920.0795,4.29
821374.3848,834943.0983,4.29
821413.6928,834974.6284,4.29
821318.3062,834675.885,4.29
821268.0565,834760.8353,4.29
821164.3597,834793.9624,4.29
821347.6554,835121.5116,4.28
821330.5265,835100.0695,4.28
821336.8765,835107.199,4.28
821389.762,834995.366,4.28
821106.3133,834794.5513,4.28
821259.4043,834818.6797,4.28
821152.2809,834779.2235,4.28
821295.5378,834706.1072,4.28
821344.8544,835117.8543,4.28
821333.6515,835103.5843,4.28
821308.2146,835069.1732,4.28
821329.6157,834909.7718,4.28
821262.846,834878.406,4.28
821125.7508,834790.9742,4.28
821266.2772,834793.1581,4.27
821286.238,835045.4866,4.27
821275.8261,834873.7602,4.27
821303.9163,834700.0135,4.27
821314.1247,835079.412,4.27
821268.7165,834872.4276,4.27
821416.3245,835010.2273,4.27
821334.7168,834917.897,4.27
821149.2291,834784.7359,4.27
821156.1256,834781.7562,4.27
821307.7786,834697.2482,4.27
821301.4071,834701.7829,4.26
821268.7222,834764.5335,4.26
821268.6001,834770.5377,4.26
821151.5932,834782.4624,4.26
821285.6334,834897.3933,4.26
821316.2189,835081.7743,4.26
821371.8055,834936.4103,4.26
821254.3808,834822.9354,4.26
821252.757,834857.751,4.26
821268.6612,834767.6356,4.26
821412.3003,835022.0552,4.25
821377.4813,834944.5847,4.25
821383.692,835015.218,4.25
821297.974,835050.8307,4.25
821317.9365,834914.8341,4.25
821123.3468,834789.5059,4.25
821271.5409,834876.4009,4.25
821305.76,835062.24,4.25
821130.5897,834789.5052,4.25
821158.6462,834795.2654,4.25
821296.9784,835051.9833,4.24
821415.4679,835013.5663,4.24
821402.6006,834964.2621,4.24
821317.8739,835083.7921,4.24
821265.2499,834796.6888,4.24
821259.807,834813.4452,4.24
821273.8559,834879.5569,4.24
821114.1601,834792.3447,4.24
821324.8668,834907.3885,4.24
821313.2774,834912.5569,4.24
821321.0706,835087.4975,4.24
821309.3073,834910.6384,4.24
821413.8841,835017.9108,4.24
821118.7035,834790.9253,4.24
821267.1352,834775.6079,4.24
821395.403,834963.355,4.23
821290.4497,835046.4337,4.23
821324.1672,835091.3028,4.23
821265.7702,834780.5781,4.23
821279.3331,834877.7703,4.23
821306.4976,834909.1731,4.23
821298.8056,834905.4274,4.23
821329.9988,834915.5261,4.23
821411.5286,834969.3971,4.23
821291.5214,835050.1748,4.23
821302.7016,834907.4503,4.23
821143.2289,834786.0701,4.23
821145.567,834783.7452,4.22
821123.5189,834803.5596,4.22
821263.614,834800.6867,4.22
821294.454,834903.0955,4.22
821121.777,834800.297,4.22
821374.871,834937.8902,4.22
821399.7187,834960.9467,4.22
821128.2358,834788.0369,4.22
821137.0577,834787.4815,4.22
821290.0023,834900.4636,4.21
821320.2178,834904.9053,4.21
821119.5457,834796.5375,4.21
821381.5711,834946.8966,4.21
821282.4911,834880.8419,4.21
821276.2561,834881.9653,4.21
821264.6216,834783.3756,4.21
821152.8828,834796.6183,4.21
821360.672,834943.045,4.2
821353.8,834940.395,4.2
821262.0781,834804.5845,4.2
821133.0247,834786.5679,4.2
821316.011,834902.8186,4.2
821322.8181,834916.5873,4.2
821409.2395,834965.4105,4.2
821324.8864,834912.949,4.2
821130.2795,834801.7865,4.2
821396.9511,834957.6312,4.19
821307.5,834913.597,4.19
821312.1042,834900.8319,4.19
821310.098,835070.4079,4.19
821124.0704,834794.1021,4.19
821254.6137,834818.6149,4.19
821379.0113,834939.8097,4.18
821137.1401,834800.3134,4.18
821285.849,834883.9135,4.18
821394.3269,834955.4872,4.18
821262.7673,834787.7909,4.18
821128.8985,834796.6507,4.18
821278.6563,834884.3737,4.18
821378.007,834954.752,4.17
821385.6608,834949.0084,4.17
821392.017,834953.3432,4.17
821406.7503,834961.4238,4.17
821319.974,834910.3719,4.17
821388.7818,834951.1758,4.17
821132.8556,834794.6057,4.17
821142.0797,834799.1423,4.17
821293.0715,835047.6365,4.16
821254.6896,834815.2193,4.16
821261.654,834790.5566,4.16
821147.2193,834798.0712,4.16
821382.3945,834941.7172,4.16
821308.7943,834899.3393,4.16
821281.1064,834886.8321,4.15
821136.0896,834793.5939,4.15
821385.8777,834943.7247,4.15
821305.5844,834897.6508,4.14
821315.6194,834908.3915,4.14
821259.9813,834794.3905,4.14
821256.5491,834806.6719,4.14
821358.608,835018.862,4.13
821292.4649,834889.9566,4.13
821389.3609,834945.7321,4.13
821257.5136,834802.3981,4.13
821124.694,834798.5982,4.13
821404.189,834958.3015,4.13
821363.889,834949.065,4.12
821293.776,834908.208,4.12
821258.3085,834798.2244,4.12
821283.5566,834889.0905,4.12
821392.8441,834947.7396,4.12
821311.4648,834906.411,4.11
821302.3744,834896.2582,4.11
821295.8147,834892.2632,4.11
821398.9348,834952.8591,4.1
821395.5983,834949.7851,4.1
821309.442,835064.995,4.1
821282.8668,835037.1287,4.09
821377.043,835010.003,4.09
821299.1645,834894.5697,4.09
821401.6277,834955.1792,4.09
821287.7349,834892.504,4.09
821372.128,834951.61,4.08
821306.2863,834903.851,4.08
821271.536,834894.133,4.07
821088.79,834812.5101,4.06
821352.454,835027.113,4.05
821291.9132,834895.9175,4.05
821301.3077,834901.2909,4.05
821296.5605,834898.5542,4.05
821335.416,835026.527,4.04
821351.254,835022.881,4.04
821346.513,835034.659,4.04
821084.652,834808.9955,4.04
821391.692,834973.621,4.03
821388.726,834965.117,4.02
821290.925,834911.01,4.02
821347.108,835042.159,4.01
821077.4082,834817.6395,4.01
821383.034,834972.857,4
821382.478,834980.261,4
821348.899,834943.318,4
821341.181,835031.874,4
821342.401,835042.789,4
821354.541,834948.169,3.99
821384.45,834970.658,3.99
821363.524,834969.197,3.99
821369.819,835002.898,3.98
821353.519,835015.462,3.98
821356.63,835011.926,3.98
821369.393,834960.972,3.97
821337.13,835052.24,3.97
821344.616,835019.762,3.96
821088.2597,834809.9813,3.96
821361.153,834954.104,3.95
821350.497,835008.262,3.95
821361.787,835004.974,3.95
821330.031,835041.461,3.95
821382.764,834966.542,3.94
821376.953,834966.402,3.94
821340.893,835047.506,3.94
821346.757,835011.614,3.93
821377.421,834985.987,3.93
821079.8714,834810.6947,3.93
821371.227,834977.975,3.92
821333.857,834949.858,3.92
821339.194,834944.807,3.92
821083.2946,834816.7781,3.92
821320.487,835040.126,3.92
821303.881,834917.823,3.91
821367.197,834996.148,3.9
821354.146,834998.563,3.89
821333.856,835057.234,3.89
821362.124,834990.05,3.88
821343.731,835004.017,3.86
821335.057,834947.538,3.85
821336.072,835018.498,3.85
821328.719,835061.057,3.85
